cls_20
BPAG_0000010501-mRNA-1
BPAG_0000016501-mRNA-1
BPAG_0000028901-mRNA-1
BPAG_0000049901-mRNA-1
BPAG_0000075201-mRNA-1
BPAG_0000085101-mRNA-1
BPAG_0000097901-mRNA-1
BPAG_0000103801-mRNA-1
BPAG_0000165401-mRNA-1
BPAG_0000179701-mRNA-1
BPAG_0000183701-mRNA-1
BPAG_0000210901-mRNA-1
BPAG_0000217201-mRNA-1
BPAG_0000224701-mRNA-1
BPAG_0000232901-mRNA-1
BPAG_0000252301-mRNA-1
BPAG_0000259701-mRNA-1
BPAG_0000259801-mRNA-1
BPAG_0000264601-mRNA-1
BPAG_0000266201-mRNA-1
BPAG_0000281001-mRNA-1
BPAG_0000282501-mRNA-1
BPAG_0000283801-mRNA-1
BPAG_0000292601-mRNA-1
BPAG_0000304601-mRNA-1
BPAG_0000342301-mRNA-1
BPAG_0000362301-mRNA-1
BPAG_0000377901-mRNA-1
BPAG_0000378101-mRNA-1
BPAG_0000383401-mRNA-1
BPAG_0000391701-mRNA-1
BPAG_0000405101-mRNA-1
BPAG_0000413401-mRNA-1
BPAG_0000464201-mRNA-1
BPAG_0000492901-mRNA-1
BPAG_0000505701-mRNA-1
BPAG_0000507401-mRNA-1
BPAG_0000508101-mRNA-1
BPAG_0000514801-mRNA-1
BPAG_0000515201-mRNA-1
BPAG_0000520501-mRNA-1
BPAG_0000534401-mRNA-1
BPAG_0000534701-mRNA-1
BPAG_0000563601-mRNA-1
BPAG_0000575601-mRNA-1
BPAG_0000579001-mRNA-1
BPAG_0000581501-mRNA-1
BPAG_0000588301-mRNA-1
BPAG_0000600401-mRNA-1
BPAG_0000609701-mRNA-1
BPAG_0000613801-mRNA-1
BPAG_0000617301-mRNA-1
BPAG_0000622301-mRNA-1
BPAG_0000639201-mRNA-1
BPAG_0000651201-mRNA-1
BPAG_0000653201-mRNA-1
BPAG_0000661901-mRNA-1
BPAG_0000675301-mRNA-1
BPAG_0000697201-mRNA-1
BPAG_0000718401-mRNA-1
BPAG_0000746901-mRNA-1
BPAG_0000755401-mRNA-1
BPAG_0000791401-mRNA-1
BPAG_0000794001-mRNA-1
BPAG_0000794501-mRNA-1
BPAG_0000796901-mRNA-1
BPAG_0000808201-mRNA-1
BPAG_0000823901-mRNA-1
BPAG_0000824201-mRNA-1
BPAG_0000842101-mRNA-1
BPAG_0000863301-mRNA-1
BPAG_0000863401-mRNA-1
BPAG_0000863501-mRNA-1
BPAG_0000865601-mRNA-1
BPAG_0000868601-mRNA-1
BPAG_0000871501-mRNA-1
BPAG_0000873101-mRNA-1
BPAG_0000880601-mRNA-1
BPAG_0000895801-mRNA-1
BPAG_0000937101-mRNA-1
BPAG_0000942101-mRNA-1
BPAG_0000943701-mRNA-1
BPAG_0000995701-mRNA-1
BPAG_0001000101-mRNA-1
BPAG_0001003801-mRNA-1
BPAG_0001004501-mRNA-1
BPAG_0001009801-mRNA-1
BPAG_0001025101-mRNA-1
BPAG_0001030501-mRNA-1
BPAG_0001037001-mRNA-1
BPAG_0001056901-mRNA-1
BPAG_0001057001-mRNA-1
BPAG_0001063301-mRNA-1
BPAG_0001082101-mRNA-1
BPAG_0001103601-mRNA-1
BPAG_0001120401-mRNA-1
BPAG_0001123401-mRNA-1
BPAG_0001126101-mRNA-1
BPAG_0001133401-mRNA-1
BPAG_0001145101-mRNA-1
BPAG_0001145201-mRNA-1
BPAG_0001151201-mRNA-1
BPAG_0001174401-mRNA-1
BPAG_0001181501-mRNA-1
BPAG_0001183101-mRNA-1
BPAG_0001187001-mRNA-1
BPAG_0001188601-mRNA-1
BPAG_0001188701-mRNA-1
BPAG_0001228801-mRNA-1
BPAG_0001234501-mRNA-1
BPAG_0001234601-mRNA-1
BPAG_0001257501-mRNA-1
BPAG_0001266001-mRNA-1
BPAG_0001270401-mRNA-1
BPAG_0001289501-mRNA-1
BPAG_0001289601-mRNA-1
BPAG_0001291901-mRNA-1
BPAG_0001302501-mRNA-1
BPAG_0001308801-mRNA-1
BPAG_0001309501-mRNA-1
BPAG_0001309701-mRNA-1
BPAG_0001312101-mRNA-1
BPAG_0001313901-mRNA-1
BPAG_0001316401-mRNA-1
BPAG_0001342101-mRNA-1
BPAG_0001358601-mRNA-1
BPAG_0001392501-mRNA-1
BPAG_0001404801-mRNA-1
BPAG_0001422301-mRNA-1
BPAG_0001425201-mRNA-1
BPAG_0001425501-mRNA-1
BPAG_0001425801-mRNA-1
BPAG_0001439601-mRNA-1
BPAG_0001440001-mRNA-1
BPAG_0001442601-mRNA-1
BPAG_0001448001-mRNA-1
BPAG_0001448101-mRNA-1
BPAG_0001458701-mRNA-1
