8009_3#10 8009_3#4 8009_3#1 8009_3#11 8009_3#12 8009_3#2 8009_3#13 8009_3#3 8009_3#6 8009_3#9 8009_3#5 8009_3#8 8009_3#7
BPAG_0000007401-mRNA-1 5 1 1 1 3 1 2 1 120 88 23 10 4
BPAG_0000007501-mRNA-1 100 29 78 81 35 29 35 18 346 191 157 119 47
BPAG_0000007701-mRNA-1 3904 2296 2368 1696 2035 1283 1273 1322 2942 1552 4024 2422 2088
BPAG_0000007801-mRNA-1 2162 960 1957 1426 1519 907 1005 905 2001 1120 3158 2272 2054
BPAG_0000007901-mRNA-1 1006 495 1253 862 958 678 705 604 1186 651 1693 937 1356
BPAG_0000008201-mRNA-1 854 419 763 697 936 557 492 342 368 243 319 332 152
BPAG_0000008301-mRNA-1 710 387 669 675 877 382 632 398 861 501 1189 716 262
BPAG_0000008401-mRNA-1 1110 441 930 1023 1341 485 990 568 1026 702 1641 1050 586
BPAG_0000008501-mRNA-1 497 261 516 475 512 326 395 291 1254 839 1098 603 402
BPAG_0000008601-mRNA-1 1996 988 5658 4075 8384 4212 4702 2987 5841 3613 5681 3185 1388
BPAG_0000008701-mRNA-1 176 50 193 269 483 195 391 190 790 594 1333 808 283
BPAG_0000008801-mRNA-1 7921 5410 6289 4608 4656 2803 3451 2894 5533 3148 6552 3542 5825
BPAG_0000008901-mRNA-1 378 166 1092 815 2250 1234 972 724 2629 1856 1361 702 240
BPAG_0000009001-mRNA-1 3 1 7 4 10 3 0 3 815 776 16 10 1
BPAG_0000009101-mRNA-1 559 202 1135 1075 1193 520 1478 930 2576 1988 2730 1600 798
BPAG_0000009201-mRNA-1 1 0 3 1 7 2 16 9 31 15 52 27 18
BPAG_0000009301-mRNA-1 2 1 9 2 6 1 10 5 19 14 52 25 23
BPAG_0000009401-mRNA-1 16 39 261 57 56 72 60 230 80 18 80 22 67
BPAG_0000009501-mRNA-1 15 8 26 30 32 8 34 22 633 552 18 10 7
BPAG_0000009601-mRNA-1 0 2 8 12 14 6 7 3 1157 926 11 6 3
BPAG_0000009701-mRNA-1 1684 798 1984 1550 1822 1189 1404 1168 4784 2436 2829 1634 1960
BPAG_0000009801-mRNA-1 913 439 1056 931 1265 566 952 634 1361 894 1332 856 466
BPAG_0000009901-mRNA-1 1378 632 1532 1312 1717 858 1422 839 3051 2139 1856 1106 1804
BPAG_0000010001-mRNA-1 741 313 596 772 761 332 590 339 1831 1501 839 544 687
BPAG_0000010101-mRNA-1 60 29 56 40 43 20 32 6 2077 1640 116 140 193
BPAG_0000010201-mRNA-1 0 0 4 3 6 6 4 7 475 339 31 13 6
BPAG_0000010301-mRNA-1 329 151 433 445 456 213 370 251 775 431 739 410 534
BPAG_0000010401-mRNA-1 334 133 683 369 513 333 414 379 1060 496 1153 482 909
BPAG_0000010501-mRNA-1 16 12 260 128 597 681 46 52 46 28 1349 705 23
BPAG_0000010601-mRNA-1 2170 875 1795 1669 1808 1000 1396 930 2247 1586 3212 2196 2016
BPAG_0000010901-mRNA-1 6146 4224 8484 5502 9138 5308 9700 7989 5890 3062 21209 5984 2151
BPAG_0000011001-mRNA-1 1222 714 2380 1457 1757 1119 1319 1240 2558 1358 2944 1188 1041
BPAG_0000011101-mRNA-1 455 223 444 449 582 300 362 192 392 230 331 254 237
BPAG_0000011201-mRNA-1 27 16 34 38 28 12 9 5 1330 996 18 22 68
BPAG_0000011301-mRNA-1 5596 2876 2169 2897 425 368 559 220 57 43 511 379 581
BPAG_0000011401-mRNA-1 5 109 121 9 8 50 7 68 114 5 150 25 80
BPAG_0000011501-mRNA-1 565 1698 1808 290 346 1166 192 921 1867 242 2063 382 1521
BPAG_0000011601-mRNA-1 420 819 1270 436 361 630 352 626 1024 289 2346 771 1390
BPAG_0000011701-mRNA-1 1041 475 998 780 998 573 882 740 1134 686 2549 1808 1155
BPAG_0000011801-mRNA-1 680 230 575 530 1688 731 679 449 204 174 415 235 64
BPAG_0000011901-mRNA-1 20 10 17 8 15 10 4 3 3 3 32 30 82
BPAG_0000012001-mRNA-1 192 121 218 137 87 97 176 185 285 92 141 72 104
BPAG_0000012101-mRNA-1 398 121 1759 1412 540 278 1129 686 353 261 833 821 118
BPAG_0000012301-mRNA-1 96 45 1785 1273 295 177 1039 819 739 591 69 35 43
