8009_3#10 8009_3#4 8009_3#1 8009_3#11 8009_3#12 8009_3#2 8009_3#13 8009_3#3 8009_3#6 8009_3#9 8009_3#5 8009_3#8 8009_3#7
BPAG_0000149701-mRNA-1 159 158 384 169 242 268 144 190 441 168 656 174 250
BPAG_0000149801-mRNA-1 24 2 33 23 15 7 30 15 188 148 299 280 2377
BPAG_0000149901-mRNA-1 117 40 67 106 81 34 72 38 81 79 154 131 50
BPAG_0000150001-mRNA-1 1361 1223 2630 1211 1914 1571 1297 1540 3757 1658 3896 1599 1786
BPAG_0000150201-mRNA-1 2450 1970 4171 1604 1706 2148 1527 1843 5187 1713 8501 3752 4230
BPAG_0000150301-mRNA-1 7445 3924 3475 2079 1595 1181 1525 1583 2607 1263 4404 2270 2234
BPAG_0000150401-mRNA-1 1127 457 831 854 1350 671 1113 571 2902 2184 1287 763 809
BPAG_0000150501-mRNA-1 3745 2938 4938 2702 2638 2756 1866 2216 4823 1648 11446 4685 2367
BPAG_0000150601-mRNA-1 757 295 621 672 885 324 614 321 948 709 1326 831 416
BPAG_0000150701-mRNA-1 1 1 1 3 1 2 1 0 291 224 4 5 0
BPAG_0000150801-mRNA-1 7 1 5 6 1 1 0 2 2792 2430 23 8 8
BPAG_0000150901-mRNA-1 30 16 17 24 11 15 10 8 12 4 101 90 60
BPAG_0000151001-mRNA-1 41 18 2 6 3 0 6 8 270 300 141 27 0
BPAG_0000151101-mRNA-1 7 14 159 11 7 17 7 49 193 15 61 2 0
BPAG_0000151201-mRNA-1 7 47 313 27 27 190 13 102 312 17 370 30 105
BPAG_0000151301-mRNA-1 230 54 1296 3782 10661 89 4537 420 222 253 943 447 700
BPAG_0000151401-mRNA-1 159 39 972 2943 8873 67 3920 326 177 226 796 362 584
BPAG_0000151601-mRNA-1 596 993 1761 1257 1349 2201 957 1263 605 206 783 327 323
BPAG_0000151701-mRNA-1 1889 2339 1868 1073 1079 1225 896 944 1928 592 1103 687 1446
BPAG_0000151801-mRNA-1 19 11 8 14 1524 765 9 5 5 9 7 1 1
BPAG_0000151901-mRNA-1 3222 1540 2867 2364 4137 2215 2056 1376 3484 1894 3708 2417 1851
BPAG_0000152101-mRNA-1 719 312 545 416 570 336 442 301 604 334 710 367 504
BPAG_0000152201-mRNA-1 1623 1030 1790 1173 2671 2131 1840 1353 3309 1466 3059 1547 851
BPAG_0000152301-mRNA-1 396 146 354 294 188 113 192 218 3444 1247 167 87 204
BPAG_0000154401-mRNA-1 3087 1569 3158 3046 4868 2136 3387 2058 4807 3006 4306 2724 1835
BPAG_0000154501-mRNA-1 192 64 411 340 332 218 368 256 1838 1209 963 500 542
BPAG_0000154601-mRNA-1 1011 450 1309 1051 1381 761 1172 771 1610 905 1635 991 1034
BPAG_0000154701-mRNA-1 83 34 75 86 89 38 62 27 73 51 303 168 92
BPAG_0000154801-mRNA-1 329 214 461 294 370 305 255 249 599 290 1281 687 419
BPAG_0000154901-mRNA-1 31 35 44 13 10 3 12 9 35 12 90 26 56
BPAG_0000155001-mRNA-1 3978 3068 3523 1663 1315 1216 881 1174 5151 1694 6102 2595 4029
BPAG_0000155101-mRNA-1 51 31 49 38 50 20 56 29 109 72 146 60 73
BPAG_0000155201-mRNA-1 839 1007 2297 677 811 1048 616 1049 4670 1529 2955 1122 1634
BPAG_0000155301-mRNA-1 178 123 391 237 388 286 237 242 514 258 378 211 251
BPAG_0000155401-mRNA-1 20297 8276 11647 11369 8936 4298 12463 7851 6365 4489 6190 2526 1747
BPAG_0000155501-mRNA-1 369 341 545 204 302 314 186 291 784 344 989 354 455
BPAG_0000155601-mRNA-1 64 646 446 121 114 318 72 271 454 84 378 56 392
BPAG_0000155701-mRNA-1 803 449 775 498 503 444 332 390 709 365 1294 587 847
BPAG_0000155801-mRNA-1 2384 2013 2749 1358 1925 1957 1388 1617 6135 2689 5052 1857 4644
BPAG_0000155901-mRNA-1 4671 2566 3654 3527 4836 2005 3382 2058 3702 2471 3766 2219 1419
BPAG_0000156001-mRNA-1 5672 1597 1753 1918 2488 982 1353 845 4046 3065 2544 2106 3434
BPAG_0000156101-mRNA-1 324 191 321 355 409 208 293 183 626 472 595 409 260
BPAG_0000156201-mRNA-1 1029 554 1327 957 1207 601 759 616 1668 931 1938 1075 1210
BPAG_0000156301-mRNA-1 587 359 1155 1080 646 408 761 625 1499 923 1547 852 251
BPAG_0000156401-mRNA-1 112 16 33 74 53 19 53 32 646 485 7207 3040 68
BPAG_0000156501-mRNA-1 1944 1097 1877 1410 1767 875 955 907 2461 1468 7891 3790 1045
BPAG_0000156601-mRNA-1 176 102 236 138 335 181 183 110 368 240 295 205 87
BPAG_0000156701-mRNA-1 22 18 68 56 71 42 76 50 172 115 325 111 10
BPAG_0000156801-mRNA-1 484 236 458 355 859 380 379 245 934 596 543 355 169
BPAG_0000156901-mRNA-1 108 37 125 94 251 143 147 63 181 128 284 292 65
BPAG_0000157001-mRNA-1 26 8 33 36 67 29 85 40 44 41 90 89 66
BPAG_0000157101-mRNA-1 715 365 709 310 526 495 266 293 192 97 349 167 261
BPAG_0000157201-mRNA-1 363 147 229 187 205 140 117 94 205 77 235 174 200
BPAG_0000157301-mRNA-1 627 147 383 365 517 227 321 179 1659 1181 314 218 144
BPAG_0000157401-mRNA-1 5 4 2 6 10 3 3 3 4302 3618 45 25 4
BPAG_0000157501-mRNA-1 547 283 753 617 760 368 648 461 2804 1731 985 509 325
BPAG_0000157601-mRNA-1 14 9 64 32 87 31 131 56 115 74 220 311 16
BPAG_0000157801-mRNA-1 422 289 716 294 1405 1559 546 608 4938 1656 1248 425 87
BPAG_0000158001-mRNA-1 647 401 203 130 133 117 108 155 626 279 503 241 351
BPAG_0000158101-mRNA-1 138 143 58 16 37 34 32 46 95 48 263 82 155
BPAG_0000158201-mRNA-1 89 244 70 10 24 54 13 45 58 12 196 56 314
BPAG_0000158301-mRNA-1 28 59 28 2 4 13 2 8 42 5 47 15 158
BPAG_0000158401-mRNA-1 24 12 63 45 88 71 47 22 112 66 1163 687 153
BPAG_0000158501-mRNA-1 131 64 290 196 206 160 220 169 254 217 486 284 125
BPAG_0000158601-mRNA-1 2759 2232 3015 1427 1336 1451 1173 1367 5110 2439 5059 2146 3455
BPAG_0000158701-mRNA-1 5710 3376 2813 2674 3166 2003 2123 1730 6067 3592 6328 2965 2670
BPAG_0000158801-mRNA-1 128 130 114 81 103 84 61 94 236 106 221 52 129
BPAG_0000159001-mRNA-1 41 16 9 9 16 1 10 2 9 7 15 27 32
BPAG_0000159101-mRNA-1 1552 710 1828 1925 2303 996 1670 972 1815 1402 1631 999 2210
BPAG_0000159201-mRNA-1 1221 526 2058 1654 2208 1019 1664 1076 2441 1877 2089 1103 986
BPAG_0000159301-mRNA-1 31 13 20 21 18 5 29 17 56 30 107 116 11
BPAG_0000159501-mRNA-1 1123 705 1549 964 1478 840 976 967 1200 674 1899 766 558
BPAG_0000159601-mRNA-1 756 620 1224 1162 1318 780 1187 1046 1817 899 600 314 426
BPAG_0000159701-mRNA-1 4396 5162 8011 3094 3656 5384 2424 3988 5200 1579 4267 1483 2683
BPAG_0000159801-mRNA-1 31 22 104 60 44 19 99 67 80 40 29 16 10
BPAG_0000160001-mRNA-1 442 210 628 441 505 378 281 208 297 216 604 475 259
BPAG_0000160101-mRNA-1 1533 1388 2290 1243 2195 1884 1128 1358 4862 2154 3088 1188 1856
BPAG_0000160201-mRNA-1 214 111 116 64 120 62 31 58 218 122 244 172 93
BPAG_0000160301-mRNA-1 2093 2320 1659 537 695 746 478 725 3472 1665 3150 1649 1979
BPAG_0000160401-mRNA-1 1413 455 994 869 1087 446 823 463 1289 1061 1120 909 1160
BPAG_0000160501-mRNA-1 1468 621 749 767 890 436 677 386 1446 1033 1237 911 711
BPAG_0000160601-mRNA-1 3979 2322 5852 4143 5137 3332 3038 2973 4324 2245 6459 3459 4479
BPAG_0000160701-mRNA-1 41 40 13 7 2 1 4 3 71 44 22 7 26
BPAG_0000160801-mRNA-1 10602 5029 8221 6544 20995 11761 8163 5377 11353 7173 12469 7927 5715
BPAG_0000160901-mRNA-1 2046 820 1586 1494 1610 863 1274 815 2117 1309 2921 2153 2159
BPAG_0000161001-mRNA-1 2243 1766 3474 2174 2539 2155 1730 1830 7533 3233 6834 2880 1767
BPAG_0000161101-mRNA-1 3354 1169 2216 2238 3106 1394 1603 1088 2752 1932 4319 3162 1836
BPAG_0000161201-mRNA-1 568 423 837 414 420 434 361 401 1536 779 1176 489 837
BPAG_0000161301-mRNA-1 1360 770 1716 1293 1849 1514 1239 1191 3895 2301 1611 854 331
BPAG_0000161401-mRNA-1 1456 873 830 1251 2337 1126 1105 771 1806 1238 672 415 212
BPAG_0000161501-mRNA-1 448 348 460 231 228 345 173 235 685 272 1860 710 552
BPAG_0000161601-mRNA-1 491 191 587 521 2302 494 304 188 519 365 480 276 363
BPAG_0000161701-mRNA-1 488 165 432 481 504 195 327 218 634 482 647 388 492
BPAG_0000161801-mRNA-1 343 147 355 265 253 130 226 167 671 397 646 474 323
BPAG_0000161901-mRNA-1 708 305 720 697 856 424 674 399 1737 1144 1432 1038 681
BPAG_0000162001-mRNA-1 1504 821 1278 1337 1415 801 1201 690 2075 1426 2258 1398 2205
BPAG_0000162101-mRNA-1 531 238 598 411 561 289 381 266 1658 1024 1617 916 497
BPAG_0000162201-mRNA-1 1910 1097 1940 1161 1268 832 982 977 2380 1144 3520 2222 2141
BPAG_0000162301-mRNA-1 884 288 598 529 1303 568 544 359 528 313 587 595 614
BPAG_0000162401-mRNA-1 900 669 604 571 406 198 344 217 243 141 174 109 440
BPAG_0000162601-mRNA-1 802 281 688 941 1639 687 776 399 891 596 772 492 357
BPAG_0000162701-mRNA-1 1253 446 1147 1162 3392 1531 1133 684 1529 1023 1794 1026 613
BPAG_0000162801-mRNA-1 339 150 437 329 493 336 355 280 657 356 706 520 459
BPAG_0000162901-mRNA-1 720 888 759 289 566 646 547 871 1638 510 383 125 231
BPAG_0000163001-mRNA-1 2757 4500 5078 2403 2455 3176 1591 2551 3897 1577 2836 1319 2000
BPAG_0000163301-mRNA-1 1656 719 1674 1312 1463 954 1181 897 3250 1884 2867 1700 1555
BPAG_0000163401-mRNA-1 378 166 1100 555 1354 1098 578 652 1765 1116 4006 1619 396
BPAG_0000163501-mRNA-1 2455 1167 1374 1324 1110 554 1071 636 2306 1518 1918 1229 787
BPAG_0000163601-mRNA-1 1196 707 1818 914 1471 1153 1522 1455 3672 1615 3636 1524 719
BPAG_0000163701-mRNA-1 604 226 544 516 657 360 453 293 506 361 1065 726 873
BPAG_0000163801-mRNA-1 170 656 669 126 248 811 129 453 551 89 1461 400 745
BPAG_0000163901-mRNA-1 2848 2349 2574 1217 2384 3094 1244 1688 2171 683 5359 2812 2695
BPAG_0000164001-mRNA-1 1063 434 1660 1224 1917 958 1003 815 1894 1031 2201 1334 1268
BPAG_0000164101-mRNA-1 59 15 62 74 113 25 37 28 629 527 42 23 37
BPAG_0000164201-mRNA-1 2056 828 3341 2293 2450 1496 1591 1188 2326 1470 5300 2500 194
BPAG_0000164501-mRNA-1 20 16 63 18 7 23 10 16 12 4 177 36 40
BPAG_0000164601-mRNA-1 2470 993 2187 1722 1252 640 941 680 703 387 4575 2690 1868
BPAG_0000164801-mRNA-1 728 319 762 674 809 392 492 310 639 394 1145 856 558
BPAG_0000164901-mRNA-1 235 82 213 290 268 104 177 99 292 244 257 221 247
BPAG_0000165101-mRNA-1 2170 915 1949 1738 2841 1569 1844 1297 2766 1648 3400 1789 1404
BPAG_0000165401-mRNA-1 8 7 6 3 2273 2157 0 15 68 18 715 589 4
BPAG_0000165501-mRNA-1 145 94 203 248 185 93 199 122 651 466 708 370 299
BPAG_0000165601-mRNA-1 125 50 214 160 127 61 233 240 1132 628 363 197 74
BPAG_0000165701-mRNA-1 1349 414 722 1068 1174 534 737 469 1745 1428 1481 1046 784
BPAG_0000165801-mRNA-1 642 279 641 624 1034 483 594 341 1002 767 851 581 350
BPAG_0000165901-mRNA-1 1997 1089 1468 1314 1817 980 1371 896 4077 2709 2908 1496 1098
BPAG_0000166001-mRNA-1 7383 3551 2332 2672 1886 1129 1394 1080 2357 1632 3422 1830 1570
BPAG_0000166101-mRNA-1 1128 448 1367 1448 1725 750 1438 733 1683 1255 1614 1313 839
BPAG_0000166201-mRNA-1 396 167 309 235 347 167 226 160 416 228 948 593 382
BPAG_0000166301-mRNA-1 2477 1283 3047 2327 3065 1714 2513 1926 3381 2097 3437 1983 1422
BPAG_0000166401-mRNA-1 2 0 1 1 4 1 1 2 773 258 738 236 3
BPAG_0000166501-mRNA-1 12352 9235 11852 8144 14349 10009 9540 7809 10076 4696 3729 2044 1773
BPAG_0000166601-mRNA-1 1453 976 3582 1358 5081 4926 2096 2400 1677 730 393 130 172
BPAG_0000166701-mRNA-1 2673 1946 3334 2382 2183 1573 1767 1996 3292 1690 1777 991 2408
BPAG_0000166801-mRNA-1 1451 2061 1732 547 482 863 370 874 3027 1072 3747 1170 1872
BPAG_0000167001-mRNA-1 3549 1352 2545 2370 2605 1425 1630 1270 2112 1184 3780 2454 2313
BPAG_0000167101-mRNA-1 1154 492 1890 1571 2184 883 1373 774 2383 1538 1938 1442 1251
BPAG_0000167201-mRNA-1 744 582 1928 762 917 1100 592 914 2297 848 2792 1230 1414
BPAG_0000167301-mRNA-1 11 4 16 18 41 30 8 6 47 34 100 57 9
BPAG_0000167401-mRNA-1 54 32 100 118 262 126 104 64 445 263 763 665 74
BPAG_0000167501-mRNA-1 10 4 19 19 26 14 11 7 5640 4622 78 44 22
BPAG_0000167601-mRNA-1 1659 628 1272 1093 1385 884 865 624 1385 868 2353 1258 1079
BPAG_0000167701-mRNA-1 77 96 280 251 153 167 249 147 89 33 87 46 20
BPAG_0000167901-mRNA-1 46 37 111 93 5042 1235 1096 908 24 17 150 83 5
BPAG_0000168001-mRNA-1 77 68 157 76 213 151 95 94 304 116 244 159 156
BPAG_0000168101-mRNA-1 10 31 70 6 9 72 6 34 72 6 208 18 65
BPAG_0000168201-mRNA-1 267 405 1118 348 1288 2947 308 630 1224 378 2635 442 954
BPAG_0000168301-mRNA-1 332 100 235 201 558 348 178 101 3004 2739 675 462 230
BPAG_0000168401-mRNA-1 812 838 1544 406 509 722 358 771 1381 380 3236 1486 973
BPAG_0000168501-mRNA-1 982 682 1549 850 939 874 682 850 2455 1092 2628 954 1332
BPAG_0000168701-mRNA-1 1877 646 1472 1711 1948 943 1157 784 3276 2345 970 708 288
BPAG_0000168801-mRNA-1 33 31 73 51 39 48 12 17 16 10 23 20 19
BPAG_0000169001-mRNA-1 1278 559 982 864 1013 523 681 487 1436 914 1806 992 762
BPAG_0000169101-mRNA-1 177 82 127 100 96 68 103 104 43 32 147 86 137
BPAG_0000169201-mRNA-1 82 20 63 59 99 33 60 35 17 13 65 20 24
BPAG_0000169301-mRNA-1 27 22 39 21 27 21 13 22 23 2 55 14 6
BPAG_0000169401-mRNA-1 822 628 3079 1172 1405 1645 1052 1563 3450 1042 7173 2330 3248
BPAG_0000169501-mRNA-1 15 2 1 3 4 2 3 1 1228 1114 17 4 6
BPAG_0000169601-mRNA-1 0 2 2 0 3 3 2 0 5 4 314 283 88
BPAG_0000169701-mRNA-1 0 0 1 0 1 0 0 0 0 1 449 471 21
BPAG_0000169801-mRNA-1 0 0 0 0 0 0 2 1 168 128 2 0 0
BPAG_0000169901-mRNA-1 0 0 1 0 1 0 0 1 226 192 2 0 0
BPAG_0000170001-mRNA-1 196 97 845 639 882 601 1081 1248 5943 2093 5830 1845 384
BPAG_0000170101-mRNA-1 2471 943 2139 1956 2725 1204 1512 1061 3322 2241 3789 2658 1740
BPAG_0000170201-mRNA-1 309 121 316 282 590 249 281 169 742 418 1132 687 400
BPAG_0000170301-mRNA-1 2117 916 1611 1297 4655 2223 1515 1060 1574 911 1876 1070 993
BPAG_0000170401-mRNA-1 2162 1121 1893 2298 2351 1057 1791 1228 2439 1510 3078 1705 1218
BPAG_0000170501-mRNA-1 59 18 101 98 105 37 140 64 2306 1845 211 150 135
BPAG_0000170601-mRNA-1 781 485 2945 3515 5755 2614 3992 2730 4624 3046 2154 1351 98
BPAG_0000170801-mRNA-1 375 242 870 551 658 509 532 460 1614 846 2807 1337 907
BPAG_0000170901-mRNA-1 8268 3904 5936 5971 67124 32162 8034 4436 35684 24981 8947 5987 7701
BPAG_0000171001-mRNA-1 55 15 82 73 141 34 73 39 33 41 154 86 165
BPAG_0000171201-mRNA-1 23 14 78 62 97 40 145 95 579 461 826 513 51
BPAG_0000171301-mRNA-1 2336 2826 4883 1568 1694 2530 1188 2291 4527 1184 8549 2685 4214
BPAG_0000171401-mRNA-1 119 191 549 124 138 368 99 317 1025 327 1866 476 636
BPAG_0000171501-mRNA-1 54 152 419 49 53 262 55 199 319 75 598 128 407
BPAG_0000171601-mRNA-1 742 565 1252 687 1029 1190 580 727 1548 564 2627 1124 1218
BPAG_0000171701-mRNA-1 555 257 534 602 712 293 652 453 1150 634 742 508 505
BPAG_0000171801-mRNA-1 1170 591 1297 747 2404 1533 832 763 1224 568 1878 772 817
BPAG_0000172001-mRNA-1 240 83 166 176 590 183 174 89 102 87 215 192 242
BPAG_0000172101-mRNA-1 1421 588 1877 1611 2913 1647 1522 1064 1193 648 3573 2309 1317
BPAG_0000172201-mRNA-1 1670 933 2515 1087 811 671 1071 1146 844 378 1615 851 1045
BPAG_0000172301-mRNA-1 4 0 12 11 23 13 20 12 77 41 16 15 2
BPAG_0000172801-mRNA-1 1954 1809 3798 1263 1133 1827 1172 1889 4964 1487 6210 2149 2832
BPAG_0000172901-mRNA-1 201 92 119 106 99 73 101 83 119 89 235 121 171
BPAG_0000173001-mRNA-1 355 302 539 265 255 220 222 246 734 316 1215 399 468
BPAG_0000173101-mRNA-1 131 55 55 50 66 25 31 19 36 23 15 29 21
BPAG_0000173201-mRNA-1 421 170 167 213 201 108 129 59 177 102 122 136 116
BPAG_0000173301-mRNA-1 1005 404 3489 1978 2653 1608 1450 1098 550 308 3726 2081 287
BPAG_0000173401-mRNA-1 466 304 835 339 1002 849 442 593 433 197 4417 2315 197
BPAG_0000173501-mRNA-1 646 313 390 386 511 271 380 244 989 662 1224 782 285
BPAG_0000173601-mRNA-1 1068 712 1176 699 630 608 476 623 1855 790 2328 1038 1593
BPAG_0000173701-mRNA-1 261 258 775 305 362 398 266 379 1115 389 1066 355 642
BPAG_0000173801-mRNA-1 366 169 554 452 575 232 463 343 1863 1006 1062 524 554
BPAG_0000173901-mRNA-1 31 15 46 35 79 24 38 22 44 20 118 76 12
BPAG_0000174001-mRNA-1 4269 11044 30352 9323 14127 23179 18671 37884 42051 8853 7615 1522 2919
BPAG_0000174101-mRNA-1 49 39 40 23 22 32 25 11 15 9 61 14 115
BPAG_0000174201-mRNA-1 1276 786 1737 1472 1566 833 1089 663 1707 1045 1214 423 275
BPAG_0000174301-mRNA-1 219 88 268 262 247 108 180 116 247 155 424 295 248
BPAG_0000174401-mRNA-1 574 313 1174 757 817 512 788 626 1301 800 1165 651 607
BPAG_0000174501-mRNA-1 357 107 299 390 421 155 394 192 607 412 466 321 489
BPAG_0000174601-mRNA-1 143 69 448 247 442 241 282 164 443 292 833 387 134
BPAG_0000174701-mRNA-1 1233 557 1009 899 1042 463 724 474 1186 808 2167 1324 591
BPAG_0000174801-mRNA-1 112 51 25 28 68 35 42 32 130 74 82 42 17
BPAG_0000174901-mRNA-1 660 263 511 548 417 186 446 290 877 688 1143 726 871
BPAG_0000175001-mRNA-1 1377 559 1234 1525 1249 510 996 532 1280 906 1739 1195 1211
BPAG_0000175101-mRNA-1 1065 1481 2116 679 565 1241 537 1102 2070 424 5346 1416 2659
BPAG_0000175201-mRNA-1 1722 799 990 1252 1335 679 1041 611 1332 960 1854 1554 1520
BPAG_0000175301-mRNA-1 1662 1081 2150 1244 1681 1467 1131 1266 3390 1654 3051 1253 2042
BPAG_0000175401-mRNA-1 1512 1007 1415 864 908 819 627 717 1908 954 3526 1575 1475
BPAG_0000175601-mRNA-1 1143 607 3974 2699 1460 658 2894 2060 2458 1469 2914 1708 3108
BPAG_0000175901-mRNA-1 852 648 1416 644 473 454 667 801 492 269 1006 610 451
BPAG_0000176001-mRNA-1 5 3 9 3 3 5 2 1 47 24 112 49 33
BPAG_0000176101-mRNA-1 390 134 279 272 339 148 147 77 270 234 237 234 407
BPAG_0000176201-mRNA-1 1981 596 1010 1158 1265 537 523 338 477 334 662 683 1444
BPAG_0000176301-mRNA-1 422 518 1113 446 447 611 313 510 1470 433 2125 535 968
BPAG_0000176401-mRNA-1 597 267 889 676 739 426 568 459 643 355 1188 930 318
BPAG_0000176501-mRNA-1 2392 1210 3291 2252 3029 1736 2246 1968 3058 1894 3614 1560 1517
BPAG_0000176601-mRNA-1 22 17 68 20 48 35 36 22 27 15 101 27 42
BPAG_0000176901-mRNA-1 43 17 22 32 7 8 3 1 43 23 1 4 298
BPAG_0000177001-mRNA-1 1959 607 1540 1659 672 311 229 131 377 287 211 95 24
BPAG_0000177101-mRNA-1 2788 1604 3221 2287 2221 1543 1595 1375 3598 1981 5222 2621 2425
BPAG_0000177201-mRNA-1 557 254 446 464 479 203 346 220 653 495 1333 772 501
BPAG_0000177301-mRNA-1 124 387 709 189 214 777 223 624 459 75 1063 250 354
BPAG_0000177401-mRNA-1 342 172 288 132 187 138 129 134 158 71 518 251 177
BPAG_0000177501-mRNA-1 91 41 279 220 168 103 443 352 7345 4333 3223 1461 372
BPAG_0000177701-mRNA-1 1394 596 1540 1558 1844 870 1260 835 4160 3043 2104 1346 1202
BPAG_0000177801-mRNA-1 1144 701 1499 809 904 837 669 720 1187 454 2441 1180 1368
BPAG_0000177901-mRNA-1 134 163 352 124 193 271 120 215 329 114 844 309 139
BPAG_0000178001-mRNA-1 348 313 744 384 565 584 281 423 693 327 1612 667 309
BPAG_0000178101-mRNA-1 140 78 283 177 731 303 377 258 239 151 310 137 166
BPAG_0000178201-mRNA-1 2 3 7 8 6 3 8 9 4057 2649 35 29 8
BPAG_0000178301-mRNA-1 45 18 75 98 92 34 45 29 144 112 1661 841 78
BPAG_0000178401-mRNA-1 1285 643 1101 1022 1820 913 1326 803 2546 1598 1351 807 786
BPAG_0000178501-mRNA-1 218 64 157 226 340 155 164 107 223 152 232 234 149
BPAG_0000178601-mRNA-1 6454 3739 11157 8136 7538 4555 7061 6227 9863 5716 7889 3869 4840
BPAG_0000178701-mRNA-1 3756 1172 935 1414 1842 729 1063 505 537 434 1268 1334 1582
BPAG_0000178801-mRNA-1 150 287 548 64 99 287 91 298 462 84 448 100 293
BPAG_0000178901-mRNA-1 97 83 211 54 60 91 44 116 114 18 149 54 117
BPAG_0000179001-mRNA-1 327 139 175 215 208 73 158 90 164 157 155 106 220
BPAG_0000179101-mRNA-1 1323 618 1951 1715 2267 1016 1839 1173 2183 1467 2606 1448 927
BPAG_0000179201-mRNA-1 1857 1087 2335 1351 1606 1361 1091 1080 2797 1249 4373 2422 1872
BPAG_0000179301-mRNA-1 1482 845 2983 1409 2563 2569 1336 1525 2225 1200 1094 553 748
BPAG_0000179401-mRNA-1 1268 1204 1894 701 742 959 639 955 2573 699 3980 1583 2801
BPAG_0000179501-mRNA-1 1496 974 2224 1166 3309 2790 1683 1851 3184 1366 3624 1232 1087
BPAG_0000179601-mRNA-1 4237 1802 866 1394 1283 590 935 584 935 684 942 565 613
BPAG_0000179701-mRNA-1 2 0 2 2 494 131 1 2 72 52 221 318 6
BPAG_0000179801-mRNA-1 30 12 24 32 340 53 55 13 106 103 175 171 7
BPAG_0000179901-mRNA-1 579 374 618 407 469 370 401 324 491 253 1364 760 499
BPAG_0000180001-mRNA-1 2009 959 3496 3619 2660 1203 6516 3854 1705 996 2412 1984 750
BPAG_0000180101-mRNA-1 107 53 133 93 134 82 133 124 10 6 6 2 3
BPAG_0000180201-mRNA-1 38 12 225 107 100 36 400 415 173 81 488 255 40
BPAG_0000180301-mRNA-1 43 21 170 161 183 85 149 69 70 59 335 401 69
BPAG_0000180401-mRNA-1 262 110 505 328 403 298 322 287 660 346 853 455 398
BPAG_0000180501-mRNA-1 182 91 215 145 190 128 137 101 364 222 390 177 156
BPAG_0000180601-mRNA-1 480 306 622 380 364 295 342 242 920 468 1686 929 605
BPAG_0000180701-mRNA-1 550 208 737 563 904 450 559 311 1077 783 849 589 296
BPAG_0000180801-mRNA-1 358 159 450 330 541 282 322 236 1143 658 802 477 349
BPAG_0000180901-mRNA-1 776 282 1541 1441 1616 608 1184 763 1805 1322 1965 1328 539
BPAG_0000181001-mRNA-1 341 115 181 155 122 71 161 146 128 58 248 67 3
BPAG_0000181101-mRNA-1 499 317 671 339 376 244 270 274 354 135 505 261 234
BPAG_0000181201-mRNA-1 19 5 14 11 27869 11587 5 9 11 9 15 8 10
BPAG_0000181301-mRNA-1 57 17 47 43 86699 59488 54 61 35 36 45 32 34
BPAG_0000181401-mRNA-1 6 12 35 0 8 184 1 15 13 5 85 14 2
BPAG_0000181501-mRNA-1 46 49 165 17 65 714 12 125 141 17 251 30 1
BPAG_0000181601-mRNA-1 126 120 321 67 491 910 92 133 231 94 394 235 11
BPAG_0000181701-mRNA-1 3519 1456 3612 4043 5336 2116 3299 1671 5709 4371 3607 2124 6536
BPAG_0000181801-mRNA-1 2963 1150 2368 2344 3111 1411 1919 1136 2135 1547 2469 2029 1481
BPAG_0000181901-mRNA-1 1680 814 1081 1050 1740 643 770 597 2644 1755 1621 1183 1159
BPAG_0000182001-mRNA-1 2114 1073 2327 1912 2603 1324 1549 1102 2645 1735 2337 1356 1428
BPAG_0000182101-mRNA-1 1008 464 744 922 1257 572 886 581 1852 1155 1220 757 676
BPAG_0000182201-mRNA-1 3936 2169 3687 2880 3806 2298 2548 1918 6040 3422 6788 3778 2838
BPAG_0000182301-mRNA-1 1923 643 650 979 1317 805 1230 818 2156 1434 1000 527 322
BPAG_0000182401-mRNA-1 371 197 771 585 770 515 560 358 1245 820 1084 624 360
BPAG_0000182501-mRNA-1 476 693 1566 355 404 771 285 693 1983 536 4907 1407 1496
BPAG_0000182601-mRNA-1 3386 1219 2616 2431 2365 1197 2498 1565 2828 1727 3886 2780 1037
BPAG_0000182701-mRNA-1 2579 785 656 841 1578 646 763 487 454 260 200 198 1236
BPAG_0000182801-mRNA-1 1060 542 1295 885 1476 937 808 744 2085 1219 2171 1348 812
BPAG_0000182901-mRNA-1 456 537 1126 449 490 663 315 623 1997 631 1964 650 1450
BPAG_0000183001-mRNA-1 597 185 495 567 680 296 379 241 760 627 767 409 455
BPAG_0000183101-mRNA-1 2079 1212 3270 1834 1861 1672 1702 1842 3312 1381 3507 1476 2126
BPAG_0000183201-mRNA-1 6650 2842 16545 12780 6946 3384 12961 9165 20253 10827 9898 4213 5299
BPAG_0000183301-mRNA-1 562 211 754 508 730 467 504 364 728 412 1070 655 606
BPAG_0000183401-mRNA-1 727 486 1289 973 992 588 978 805 2899 1784 2935 1260 874
BPAG_0000183501-mRNA-1 10 6 11 10 56 50 2 4 62 43 0 1 14
BPAG_0000183701-mRNA-1 15 9 41 34 2298 720 52 18 78 54 74 36 2
BPAG_0000183901-mRNA-1 188 117 280 212 195 104 289 179 693 477 686 393 169
BPAG_0000184001-mRNA-1 157 94 341 256 271 131 262 152 304 175 407 298 199
BPAG_0000184101-mRNA-1 607 239 1118 828 1107 627 842 624 892 484 965 448 615
BPAG_0000184201-mRNA-1 501 199 486 548 549 302 415 331 529 318 619 506 490
BPAG_0000184301-mRNA-1 205 254 546 186 255 390 141 269 575 160 1683 280 502
BPAG_0000184401-mRNA-1 0 7 3 0 2 1 5 5 47 32 47 79 51
